Ewe/V1,<I>/mA1,Ewe/V5,<I>/mA5,Ewe/V20,<I>/mA20
-0.465430319,-0.24832244,-0.465506732,-0.797620321,-0.465602219,-1.209823464
-0.465659529,-0.248542471,-0.465716809,-0.79949788,-0.465716809,-1.22113207
-0.465716809,-0.248399721,-0.465793222,-0.800704445,-0.465697736,-1.216843049
-0.465793222,-0.248252538,-0.465946019,-0.800060679,-0.465869635,-1.212800823
-0.466003329,-0.248174131,-0.466003329,-0.798207915,-0.466098815,-1.223731418
-0.466137022,-0.248325616,-0.466003329,-0.797941839,-0.466117918,-1.210727903
-0.466137022,-0.249694815,-0.466194332,-0.802021799,-0.466098815,-1.224373346
-0.466289818,-0.249198734,-0.466251642,-0.802886844,-0.466347128,-1.218968968
-0.466347128,-0.249054234,-0.466557235,-0.801966379,-0.466404438,-1.215246287
-0.466366231,-0.248890551,-0.466614544,-0.799638544,-0.466633648,-1.225966093
-0.466557235,-0.248633357,-0.466633648,-0.799231394,-0.466633648,-1.212852503
-0.466824651,-0.248714099,-0.466786444,-0.801070713,-0.466690928,-1.224142586
-0.466748238,-0.24853569,-0.466843754,-0.802558161,-0.466805547,-1.219726289
-0.466862828,-0.248562969,-0.466881931,-0.801706874,-0.466958344,-1.215595166
-0.466996551,-0.248518924,-0.466977447,-0.799650755,-0.466977447,-1.226179704
-0.467092037,-0.248460905,-0.466977447,-0.799583995,-0.467092037,-1.213382997
-0.467206657,-0.248812106,-0.46722576,-0.801382385,-0.467302144,-1.224616046
-0.46734035,-0.248660976,-0.467187554,-0.802802655,-0.467378557,-1.22012677
-0.467359453,-0.248309424,-0.467321247,-0.802090005,-0.467206657,-1.21624891
-0.46745494,-0.248381047,-0.467550457,-0.800077856,-0.467531353,-1.227125282
-0.467531353,-0.248450897,-0.467493147,-0.799884012,-0.467550457,-1.214076631
-0.467607766,-0.248653192,-0.467588663,-0.801587614,-0.467836946,-1.225228764
-0.46774146,-0.248643064,-0.467817873,-0.803212441,-0.467836946,-1.220815072
-0.467989773,-0.248538748,-0.467932463,-0.802467282,-0.467817873,-1.216811294
-0.467951566,-0.24853459,-0.467989773,-0.80053969,-0.467932463,-1.228068235
-0.468142569,-0.248647336,-0.468142569,-0.800356089,-0.468104362,-1.214974498
-0.468180776,-0.248373452,-0.468218952,-0.80209989,-0.468218952,-1.22605363
-0.468257159,-0.248352093,-0.468314469,-0.803598145,-0.468257159,-1.221776587
-0.468448162,-0.248493782,-0.468448162,-0.802593075,-0.468486369,-1.217717029
-0.468639165,-0.24839741,-0.468486369,-0.800717648,-0.468352675,-1.228683591
-0.468658268,-0.24817999,-0.468600959,-0.800274597,-0.468581885,-1.215730342
-0.468581885,-0.248119031,-0.468620062,-0.802335384,-0.468658268,-1.226727344
-0.468753785,-0.248141229,-0.468791962,-0.803782155,-0.468772888,-1.222490107
-0.468906581,-0.248328535,-0.468963891,-0.803506865,-0.468849272,-1.218378884
-0.468982965,-0.248312185,-0.469021171,-0.801198364,-0.468963891,-1.229410286
-0.468925685,-0.24831016,-0.469021171,-0.801051214,-0.469021171,-1.216295332
-0.469326794,-0.248233127,-0.469097584,-0.803074888,-0.469097584,-1.227143851
-0.469173968,-0.248295784,-0.469326794,-0.804602791,-0.469403177,-1.223289872
-0.469498694,-0.249753991,-0.469364971,-0.806103267,-0.469326794,-1.221667908
-0.469594181,-0.249520907,-0.469594181,-0.803272562,-0.469517797,-1.231977843
-0.469555974,-0.249288209,-0.469613284,-0.802988427,-0.469555974,-1.218970383
-0.46976608,-0.249292605,-0.4697088,-0.804823903,-0.469632387,-1.229903681
-0.469785184,-0.249196298,-0.469899803,-0.806207797,-0.46976608,-1.225299001
-0.469861597,-0.249237571,-0.46993801,-0.805154833,-0.469785184,-1.221390642
-0.470090806,-0.249348015,-0.469861597,-0.803195361,-0.4698807,-1.232274907
-0.46999529,-0.249236157,-0.470071703,-0.803018332,-0.4700526,-1.219344296
-0.47016719,-0.24915981,-0.4702245,-0.804913225,-0.47010991,-1.229885114
-0.470377296,-0.249341146,-0.47033909,-0.806491109,-0.470320016,-1.225781836
-0.470396399,-0.249292954,-0.470434606,-0.80557852,-0.470530093,-1.221726261
-0.470549196,-0.249305597,-0.470511019,-0.803521254,-0.470377296,-1.232850534
-0.470625609,-0.248924227,-0.470644712,-0.803240984,-0.470587403,-1.219597685
-0.470549196,-0.249172051,-0.470682919,-0.805039175,-0.470606506,-1.23069145
-0.470873922,-0.24938998,-0.470797509,-0.806576186,-0.470778406,-1.22658817
-0.470740199,-0.249359205,-0.470969409,-0.80573899,-0.471045822,-1.222818981
-0.471084028,-0.249493539,-0.471122205,-0.803835504,-0.470950305,-1.233375671
-0.471236825,-0.249568697,-0.471084028,-0.80369518,-0.471198618,-1.220880133
-0.471160412,-0.24947559,-0.471141309,-0.805653398,-0.471103102,-1.231797546
-0.471198618,-0.249250909,-0.471294105,-0.807240708,-0.471236825,-1.227297698
-0.471370518,-0.249149105,-0.471351415,-0.806312534,-0.471275032,-1.223419778
-0.471504211,-0.249107737,-0.471389621,-0.804220808,-0.471427828,-1.234461916
-0.471580625,-0.249276654,-0.471676111,-0.803974608,-0.471485108,-1.221605542
-0.471599728,-0.249145459,-0.471676111,-0.805802369,-0.471637934,-1.232526883
-0.471790731,-0.249158911,-0.471790731,-0.807162007,-0.471790731,-1.227946135
-0.471771628,-0.248923315,-0.471905321,-0.806542247,-0.471848041,-1.224295105
-0.471962631,-0.249096432,-0.471886218,-0.8045509,-0.471981734,-1.234948608
-0.472058147,-0.249007033,-0.472039044,-0.804384735,-0.471981734,-1.222198404
-0.47224915,-0.249009656,-0.472077221,-0.806273932,-0.472153634,-1.233102453
-0.47224915,-0.248995053,-0.472287327,-0.807837604,-0.472077221,-1.229102634
-0.472401947,-0.24915324,-0.472287327,-0.806871094,-0.47224915,-1.22483483
-0.47253564,-0.249126658,-0.47259295,-0.804894487,-0.47247833,-1.235701943
-0.472669333,-0.250701403,-0.47259295,-0.806774333,-0.472783953,-1.225663794
-0.472726643,-0.249886373,-0.472573847,-0.808097579,-0.47265023,-1.23568593
-0.47287944,-0.249974789,-0.47270754,-0.809546103,-0.472631156,-1.231602525
-0.47282216,-0.249995122,-0.472898543,-0.808743827,-0.472860336,-1.227267181
-0.472994059,-0.249836897,-0.472898543,-0.806562478,-0.472974956,-1.238094419
-0.473070443,-0.250054269,-0.472974956,-0.806311242,-0.473127753,-1.224865337
-0.473165959,-0.249981845,-0.473185062,-0.808272578,-0.473204166,-1.236013514
-0.473261446,-0.250481668,-0.473414242,-0.809643905,-0.473242342,-1.231760407
-0.473471552,-0.250368561,-0.473395169,-0.808801628,-0.473318756,-1.2277738
-0.473414242,-0.250424498,-0.473547965,-0.806576759,-0.473605245,-1.238659347
-0.473528862,-0.250617949,-0.473605245,-0.806714302,-0.473490655,-1.225706242
-0.473681659,-0.250640719,-0.473738968,-0.808588651,-0.473528862,-1.236379589
-0.473853558,-0.250339381,-0.473872662,-0.809942887,-0.473777175,-1.232387647
-0.473853558,-0.250585856,-0.473968178,-0.80899428,-0.473929971,-1.228440898
-0.473968178,-0.250566809,-0.473949075,-0.807013129,-0.474025458,-1.239244213
-0.473949075,-0.250532692,-0.474082768,-0.807064735,-0.474120975,-1.22630966
-0.474311978,-0.251175466,-0.474216461,-0.809511376,-0.474178255,-1.238469755
-0.474254668,-0.250744221,-0.474311978,-0.810823761,-0.474388361,-1.233837269
-0.474292874,-0.251030682,-0.474388361,-0.809885718,-0.474292874,-1.229790946
-0.474483877,-0.250912015,-0.474464774,-0.80780837,-0.474502981,-1.240774716
-0.474598467,-0.251088704,-0.474579364,-0.807489926,-0.474464774,-1.227832173
-0.474693984,-0.250819081,-0.474655777,-0.809382329,-0.47478947,-1.238638138
-0.474713087,-0.251107103,-0.47478947,-0.810932286,-0.474770367,-1.23456802
-0.474884987,-0.25106702,-0.474942297,-0.810244988,-0.474827677,-1.230346588
-0.474942297,-0.251012567,-0.474942297,-0.807827502,-0.47490409,-1.24137152
-0.475056887,-0.251047429,-0.475056887,-0.807886284,-0.475171477,-1.228367964
-0.475209683,-0.25115096,-0.475152373,-0.810012551,-0.475286096,-1.239337072
-0.47519058,-0.251349295,-0.4753052,-0.811367832,-0.475266993,-1.235290761
-0.475438893,-0.250976894,-0.475343376,-0.810403588,-0.475266993,-1.230989806
-0.475457996,-0.250965803,-0.475438893,-0.808523552,-0.475496203,-1.241860839
-0.475457996,-0.250925785,-0.475438893,-0.808451783,-0.475591689,-1.229130499
-0.475668103,-0.250575002,-0.475782692,-0.810418754,-0.475687206,-1.240229587
-0.475878209,-0.251921328,-0.475973696,-0.813904055,-0.475820899,-1.23842594
-0.475859106,-0.251925287,-0.475916386,-0.812516427,-0.475840002,-1.23366222
-0.476069212,-0.251482664,-0.475878209,-0.810360079,-0.475840002,-1.244474771
-0.476126492,-0.251470273,-0.476164699,-0.810200183,-0.476107389,-1.231529591
-0.476222008,-0.251293695,-0.476222008,-0.811707748,-0.476126492,-1.242124707
-0.476279318,-0.25179293,-0.476183802,-0.813324916,-0.476317495,-1.2381859
-0.476393908,-0.252092098,-0.476355702,-0.812596843,-0.476413012,-1.233869056
-0.476413012,-0.252461311,-0.476565808,-0.810253889,-0.476451218,-1.244614027
-0.476623118,-0.2516092,-0.476642221,-0.809976588,-0.476565808,-1.231777631
-0.476680428,-0.251729513,-0.476718605,-0.812046481,-0.476699501,-1.242679117
-0.476890504,-0.252047354,-0.476909608,-0.81379203,-0.476775914,-1.238726946
-0.476890504,-0.251450749,-0.476966918,-0.8128876,-0.476852328,-1.234499015
-0.477005124,-0.251563104,-0.477081507,-0.810536896,-0.477043331,-1.245277191
-0.477119714,-0.251326121,-0.477043331,-0.810728655,-0.477043331,-1.232488511
-0.476986021,-0.251390226,-0.477196127,-0.812435133,-0.477253437,-1.243242751
-0.47721523,-0.2513043,-0.477310717,-0.814110837,-0.47721523,-1.239176619
-0.47744444,-0.251310409,-0.477463514,-0.81345485,-0.477348924,-1.235398136
-0.47750172,-0.251454795,-0.477539927,-0.811143714,-0.477406234,-1.246071589
-0.477692723,-0.251344508,-0.477635443,-0.811293215,-0.47750172,-1.233435385
-0.477597237,-0.251203125,-0.477692723,-0.813149959,-0.477597237,-1.244470815
-0.477711827,-0.250912728,-0.477864623,-0.814390463,-0.47773093,-1.240146071
-0.47784552,-0.250922805,-0.477864623,-0.813588197,-0.477826446,-1.235768164
-0.478055626,-0.25099281,-0.477941036,-0.81134764,-0.47796014,-1.246989364
-0.477979243,-0.251123488,-0.478227526,-0.811320428,-0.478112936,-1.233951293
-0.478189349,-0.251469933,-0.478189349,-0.813230314,-0.478189349,-1.244856698
-0.478265733,-0.251249464,-0.478303939,-0.814618318,-0.478303939,-1.240863534
-0.478475839,-0.251105852,-0.478361249,-0.81368791,-0.478399456,-1.23653207
-0.478456736,-0.251091302,-0.478514045,-0.811764409,-0.478494942,-1.247517191
-0.478609562,-0.250754116,-0.478552252,-0.811677476,-0.478609562,-1.234573238
-0.478609562,-0.250887597,-0.478628635,-0.813599385,-0.478743255,-1.245572954
-0.478838742,-0.251054916,-0.478876948,-0.815015772,-0.478705049,-1.241632784
-0.478876948,-0.251247114,-0.478896052,-0.81407414,-0.478838742,-1.237350332
-0.479048848,-0.25259409,-0.479048848,-0.81437806,-0.478991568,-1.250910898
-0.479087055,-0.252213087,-0.479144365,-0.813757156,-0.479087055,-1.237321243
-0.479220748,-0.252027876,-0.479201645,-0.815513153,-0.479144365,-1.248038394
-0.479335368,-0.252245689,-0.479335368,-0.816832112,-0.479163468,-1.244120747
-0.479430854,-0.252059756,-0.479526371,-0.815970539,-0.479392648,-1.239549287
-0.479526371,-0.252073132,-0.479488164,-0.813777692,-0.479526371,-1.250536946
-0.479640961,-0.251929547,-0.479545474,-0.813736414,-0.479621857,-1.237681982
-0.479621857,-0.251852391,-0.479698271,-0.81581235,-0.47975558,-1.248489278
-0.479774654,-0.251943911,-0.480003864,-0.816830915,-0.47998476,-1.244372725
-0.47987017,-0.252101,-0.47998476,-0.816079468,-0.47981286,-1.240087638
-0.479946584,-0.252048586,-0.480022967,-0.814101733,-0.47998476,-1.251168167
-0.47998476,-0.252126003,-0.48004207,-0.813929406,-0.480194867,-1.238358349
-0.480252177,-0.25207066,-0.48015666,-0.815808102,-0.480366766,-1.24872794
-0.48027128,-0.251928843,-0.48038587,-0.817210994,-0.480233073,-1.24531161
-0.480290383,-0.251936612,-0.48038587,-0.816410223,-0.480366766,-1.240746851
-0.480500489,-0.251779226,-0.480366766,-0.814306696,-0.48055777,-1.252099181
-0.480538666,-0.251810706,-0.480595976,-0.814157813,-0.480538666,-1.238928571
-0.480729699,-0.252023754,-0.480615079,-0.816220021,-0.480786979,-1.249800896
-0.480729699,-0.252096506,-0.480920702,-0.817546265,-0.480767876,-1.245847444
-0.480825186,-0.252066337,-0.480901599,-0.816832705,-0.480806082,-1.241653934
-0.480939776,-0.252222691,-0.481035292,-0.814782913,-0.480882496,-1.252554086
-0.481016189,-0.252597925,-0.481054395,-0.814301794,-0.481092602,-1.239490852
-0.481092602,-0.252742612,-0.481092602,-0.816479272,-0.481130779,-1.250383052
-0.481207192,-0.252758886,-0.481302708,-0.817867544,-0.481168985,-1.246598115
-0.481340885,-0.252632804,-0.481379092,-0.817062071,-0.481283605,-1.24218977
-0.481474608,-0.252607547,-0.481493711,-0.815109528,-0.481474608,-1.253323317
-0.481531888,-0.252476897,-0.481550992,-0.814784726,-0.481474608,-1.240595666
-0.481627405,-0.25269812,-0.481550992,-0.816904234,-0.481550992,-1.251246455
-0.481799304,-0.252677208,-0.481722891,-0.818327109,-0.481761098,-1.247220079
-0.481780201,-0.252264286,-0.481952101,-0.817626991,-0.481780201,-1.243074293
-0.481952101,-0.252111084,-0.481875718,-0.815472888,-0.481990308,-1.254023554
-0.481971204,-0.252063416,-0.481913894,-0.815320554,-0.482047617,-1.241236185
-0.482238621,-0.253460532,-0.482104897,-0.819465111,-0.482219517,-1.254501025
-0.48235321,-0.253214569,-0.482391417,-0.820130053,-0.482219517,-1.250071396
-0.482334107,-0.253212155,-0.48235321,-0.819338489,-0.482448727,-1.245728138
-0.482486904,-0.253052767,-0.482448727,-0.817176121,-0.482486904,-1.256502291
-0.482563317,-0.253041862,-0.4824678,-0.817014781,-0.482448727,-1.243579609
-0.48269701,-0.253209121,-0.48269701,-0.818840696,-0.482563317,-1.25428619
-0.482735217,-0.253457046,-0.48275432,-0.82028188,-0.482849807,-1.250592589
-0.482773423,-0.253208934,-0.482849807,-0.819508826,-0.482716113,-1.245896481
-0.482945323,-0.25326458,-0.482964426,-0.817308956,-0.482964426,-1.257153384
-0.48298353,-0.253162676,-0.483002633,-0.817118796,-0.483002633,-1.243935009
-0.483155429,-0.253367634,-0.483136326,-0.818997226,-0.483155429,-1.254697226
-0.483193636,-0.252955085,-0.483422846,-0.820392045,-0.483231843,-1.251115208
-0.483289123,-0.252846179,-0.483346432,-0.819380246,-0.483308226,-1.246401794
-0.483384639,-0.253011973,-0.483441919,-0.817562086,-0.483461022,-1.257637486
-0.483441919,-0.252857444,-0.483480126,-0.817377004,-0.483632922,-1.244743978
-0.483632922,-0.252784557,-0.483632922,-0.81938448,-0.483823925,-1.255536765
-0.483709335,-0.252857155,-0.483671129,-0.820941895,-0.483785748,-1.252011647
-0.483728439,-0.253122807,-0.483804852,-0.820219926,-0.483843029,-1.247481334
-0.483976752,-0.253297532,-0.483900338,-0.818078056,-0.483900338,-1.258710394
-0.483938545,-0.252627345,-0.484014928,-0.818064857,-0.484072238,-1.245883259
-0.483995855,-0.252447332,-0.484110445,-0.819914987,-0.484205931,-1.256392139
-0.484244138,-0.252525305,-0.484377861,-0.821418792,-0.484148651,-1.252698657
-0.484301448,-0.252571232,-0.484339654,-0.820446157,-0.484263241,-1.248251833
-0.484396935,-0.252669965,-0.484377861,-0.818584949,-0.484549761,-1.259368204
-0.484568864,-0.252486532,-0.484587938,-0.818168611,-0.484511554,-1.24609407
-0.484568864,-0.252649338,-0.484664351,-0.820135115,-0.484530658,-1.256776785
-0.484664351,-0.253021752,-0.484683454,-0.821534964,-0.484740764,-1.253588522
-0.484664351,-0.25297287,-0.484836251,-0.820859471,-0.48489356,-1.248914964
-0.485027254,-0.25320691,-0.484855354,-0.818454408,-0.484874457,-1.259938483
-0.485046357,-0.253393769,-0.48512277,-0.818664802,-0.484912664,-1.247208156
-0.48500815,-0.253021203,-0.485046357,-0.820714207,-0.485160977,-1.257597702
-0.48512277,-0.253104869,-0.485275567,-0.821958694,-0.485199153,-1.253986458
-0.485542983,-0.254733085,-0.485485673,-0.823348907,-0.48540926,-1.251965269
-0.485447466,-0.254532574,-0.485428363,-0.820750851,-0.485485673,-1.262366762
-0.48558116,-0.254456103,-0.485638469,-0.820342568,-0.48552388,-1.249523746
-0.485600263,-0.254275108,-0.485600263,-0.822232343,-0.485638469,-1.260114878
-0.485733986,-0.254073414,-0.485848576,-0.823598075,-0.485829473,-1.256138913
-0.485924989,-0.254009781,-0.485772163,-0.822646719,-0.485886782,-1.251733147
-0.486020476,-0.254221919,-0.485982269,-0.820594109,-0.486039579,-1.26278582
-0.486058682,-0.254111473,-0.485982269,-0.820514048,-0.486096889,-1.249696168
-0.486154169,-0.253966776,-0.486077785,-0.822496091,-0.486230582,-1.260292612
-0.486173272,-0.254485719,-0.486230582,-0.823830627,-0.486249685,-1.256734336
-0.486364275,-0.253985461,-0.486402482,-0.822982456,-0.486306995,-1.252192053
-0.486497998,-0.253990834,-0.486402482,-0.82098402,-0.486497998,-1.263670437
-0.486593485,-0.253929075,-0.486517072,-0.820707692,-0.486326069,-1.250273017
-0.486612588,-0.253992444,-0.486727178,-0.822590065,-0.486727178,-1.261382689
-0.486784488,-0.253760219,-0.486880004,-0.824062503,-0.486727178,-1.2578789
-0.486956388,-0.25359261,-0.486765385,-0.823204798,-0.486841798,-1.252908217
-0.486899078,-0.254789854,-0.486822695,-0.822530812,-0.486975491,-1.265540443
-0.487051904,-0.254580741,-0.487109184,-0.82215213,-0.487204701,-1.252430799
-0.487109184,-0.254316838,-0.487147391,-0.823954298,-0.487147391,-1.262824317
-0.487281114,-0.254518508,-0.487281114,-0.825254479,-0.487281114,-1.259577739
-0.487319291,-0.25447559,-0.487395704,-0.824149009,-0.487242907,-1.254494317
-0.487472117,-0.25483921,-0.487472117,-0.822271978,-0.487453014,-1.265736709
-0.487644017,-0.254710174,-0.4875485,-0.822090864,-0.48760581,-1.252770317
-0.487739503,-0.254897033,-0.48760581,-0.824102132,-0.487758607,-1.2633933
-0.487873197,-0.255015885,-0.487624913,-0.825260936,-0.487644017,-1.259803149
-0.48794961,-0.254774831,-0.48777771,-0.82445396,-0.48783502,-1.255306008
-0.487968713,-0.254667793,-0.487968713,-0.822697951,-0.488083303,-1.26639582
-0.488102406,-0.25486693,-0.48800692,-0.822400357,-0.488045126,-1.253515584
-0.488197923,-0.254444363,-0.488178819,-0.824267205,-0.488274306,-1.264053687
-0.488312513,-0.254595815,-0.488255203,-0.825797176,-0.488274306,-1.260636069
-0.488236129,-0.254085626,-0.488312513,-0.824896277,-0.488427132,-1.255608417
-0.488522619,-0.25404853,-0.488369823,-0.822937989,-0.488503516,-1.267146491
-0.488618135,-0.255504254,-0.488694519,-0.824992989,-0.488599032,-1.256721104
-0.488599032,-0.255300646,-0.488732725,-0.826364891,-0.488656312,-1.266440903
-0.488790035,-0.255267196,-0.488809139,-0.827622432,-0.488790035,-1.262950279
-0.488866419,-0.255215793,-0.488790035,-0.82687324,-0.488694519,-1.258092389
-0.488942832,-0.255212284,-0.488923728,-0.824657676,-0.488923728,-1.269180916
-0.489019215,-0.255144182,-0.489038318,-0.82460179,-0.489019215,-1.256363029
-0.489057422,-0.255001122,-0.489114732,-0.826467354,-0.489133835,-1.266733969
-0.489343941,-0.25510797,-0.489248425,-0.827671741,-0.489248425,-1.263509986
-0.489363045,-0.254582041,-0.489382148,-0.826809429,-0.489324838,-1.25843324
-0.489343941,-0.254362071,-0.489496738,-0.824735143,-0.489401251,-1.269590711
-0.489630431,-0.254377361,-0.489573151,-0.824586896,-0.489554048,-1.256664043
-0.489668638,-0.254584908,-0.489534944,-0.826756715,-0.489764154,-1.267196856
-0.489840537,-0.254999586,-0.489764154,-0.827790077,-0.489668638,-1.263771189
-0.489859641,-0.254983731,-0.489802331,-0.827063975,-0.48991695,-1.258996829
-0.489993334,-0.254772428,-0.489897847,-0.824961525,-0.489859641,-1.270277629
-0.49008885,-0.254475087,-0.490127057,-0.824946798,-0.490107954,-1.257507476
-0.490127057,-0.254672712,-0.49014616,-0.827028059,-0.490356266,-1.268036343
-0.49031806,-0.254804021,-0.49037534,-0.828427492,-0.49026075,-1.264752639
-0.49026075,-0.254680694,-0.490356266,-0.827428006,-0.490356266,-1.259881459
-0.490451753,-0.25497535,-0.49054727,-0.825530992,-0.49054727,-1.271252476
-0.490623653,-0.254804336,-0.49054727,-0.825354285,-0.49066186,-1.258398739
-0.490776449,-0.254993236,-0.490680963,-0.827447522,-0.490585446,-1.268550962
-0.490700066,-0.256251328,-0.490757346,-0.828781385,-0.490719169,-1.265600058
-0.490814656,-0.25618797,-0.490776449,-0.827734082,-0.490795553,-1.260892061
-0.490929276,-0.255717965,-0.490929276,-0.824345135,-0.490910172,-1.272001756
-0.491158456,-0.25554225,-0.491005659,-0.824300112,-0.490986556,-1.258931865
-0.491082072,-0.255984039,-0.491062969,-0.826170325,-0.491177559,-1.269667598
-0.491273075,-0.255645816,-0.491215765,-0.827718928,-0.491311282,-1.26620614
-0.491444975,-0.255483716,-0.491273075,-0.826605196,-0.491292179,-1.261307103
-0.491368562,-0.25592402,-0.491425872,-0.824483759,-0.491406769,-1.272640971
-0.491616875,-0.2561794,-0.491521358,-0.824613181,-0.491502285,-1.259772651
-0.491655082,-0.25606653,-0.491540462,-0.826656221,-0.491731465,-1.270272387
-0.491750568,-0.257349852,-0.491826981,-0.8299896,-0.491769671,-1.269365174
-0.492017984,-0.256577648,-0.491903394,-0.828787274,-0.491788775,-1.26386142
-0.492017984,-0.256697052,-0.491922468,-0.826643595,-0.491960675,-1.27481464
-0.492017984,-0.256744778,-0.492017984,-0.826386057,-0.492037088,-1.262136017
-0.492132574,-0.256548129,-0.492037088,-0.828013005,-0.492151678,-1.272244431
-0.492247194,-0.256602556,-0.492438197,-0.82949671,-0.492208987,-1.269098617
-0.492342681,-0.256444453,-0.492476404,-0.828622069,-0.492285401,-1.264378687
-0.492419094,-0.256429551,-0.492438197,-0.826677957,-0.492590994,-1.275388859
-0.49251458,-0.256434921,-0.492495477,-0.826531251,-0.492705584,-1.262512649
-0.492724687,-0.256296046,-0.49268648,-0.828404723,-0.492667407,-1.273093219
-0.492934793,-0.256575499,-0.492724687,-0.82946091,-0.492781997,-1.269609238
-0.49285841,-0.256872774,-0.492953897,-0.828851137,-0.492820203,-1.264796376
-0.493011206,-0.257066429,-0.492934793,-0.826906301,-0.492877483,-1.27605328
-0.493164003,-0.257173688,-0.493049413,-0.828099731,-0.49303031,-1.263222138
-0.4931449,-0.257094418,-0.493202209,-0.830262094,-0.49325949,-1.273594481
